#ElecBuy;ElecSell
0;0.1988
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1.2914;0
0.51;0
0.5896;0
0.5882;0
0.4741;0
0.4409;0
0.3145;0
0.107;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0.4223
0;0.8242
0;0.8685
0;1.7403
0;1.5034
0;1.2248
0;1.4876
0;0
0;0.9273
0;0.8454
0;0.5646
0;0.6679
0;0.3906
0;0.5943
0;0
0;0.1496
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0.0362;0
1.7464;0
2.0797;0
2.1294;0
0.568;0
0.42;0
0.4107;0
0.7466;0
